client_id,subscribe
2986,0.0
29710,0.0
38938,0.4
31313,0.0
24173,0.2
14426,1.0
40159,0.4
12301,0.0
9640,0.2
19742,0.6
5967,0.2
25559,0.6
34976,0.0
38126,0.0
17369,0.4
40632,0.0
37544,0.6
11284,0.0
36717,0.0
14536,0.0
26503,0.0
22763,0.0
32953,0.0
413,0.4
10762,0.6
14745,0.0
25946,0.8
14804,0.6
6790,0.0
30453,0.0
27455,0.8
29826,0.2
13689,0.0
13795,0.8
1835,0.8
41043,0.4
10563,0.8
38265,0.0
10848,0.0
41155,0.0
22925,0.0
28583,0.0
29133,0.2
7588,0.2
5242,0.6
11667,0.0
22369,0.0
5409,0.0
25931,0.6
19851,0.0
17993,1.0
6007,0.2
38467,0.8
27753,0.4
32117,1.0
38191,0.0
3984,0.0
22119,0.0
6333,0.0
2894,0.0
23883,0.2
27380,0.0
25244,0.0
4913,0.0
13238,0.0
36086,0.8
11187,0.2
16635,0.0
38210,0.0
6312,0.2
24671,0.0
34134,1.0
40160,0.2
20698,0.0
79,0.0
4518,0.0
9448,0.0
1230,0.0
3080,0.0
31315,0.0
4972,0.0
3509,0.0
17220,0.2
28577,0.4
2777,0.0
30712,0.4
17749,0.2
11126,1.0
2748,0.6
13376,0.0
39084,0.2
32128,0.0
19927,0.4
10216,0.0
27913,0.0
9174,0.2
7657,0.4
7132,0.0
38920,0.8
22344,0.2
20878,0.0
29851,0.4
36385,0.0
8539,0.2
36671,0.0
24243,0.8
8905,0.0
1963,0.0
23294,0.0
8482,0.0
13102,0.2
16011,0.0
3804,0.0
24378,0.2
26034,0.4
38947,0.0
33285,0.2
14816,0.0
28852,0.0
2761,0.4
37853,0.2
40302,0.0
4297,0.2
8946,0.2
6529,0.4
7053,0.2
20995,0.0
40459,0.8
11166,0.8
39155,1.0
1627,0.2
31167,0.8
28613,0.4
38376,0.2
11735,0.0
12053,0.0
40133,0.8
12336,0.2
30541,0.0
32580,0.0
28535,0.0
25008,0.0
41164,0.2
32661,0.0
25948,0.2
7348,0.0
28676,0.0
36480,0.0
39116,0.4
27525,0.0
887,0.0
28360,0.0
914,0.0
16385,0.0
15198,0.0
31218,0.2
5799,0.0
25932,0.4
20474,0.2
10943,0.0
38854,0.0
11688,0.4
8181,1.0
30774,0.6
22642,0.6
15017,0.2
12248,0.8
18671,0.0
39113,0.0
5459,0.0
40332,0.0
4176,0.0
33598,0.2
24730,0.2
12921,0.2
39404,0.0
384,0.0
24163,0.4
1191,0.4
30006,0.0
16707,0.4
30933,0.2
40197,0.2
33442,0.6
39150,0.0
29444,0.2
303,0.0
31566,0.2
1003,0.8
15390,0.6
4676,0.4
21973,0.0
14632,0.4
9008,0.0
16090,0.0
40269,0.8
5392,0.0
24790,0.0
18937,0.0
16886,0.0
31072,0.0
16021,0.0
23569,0.2
30092,0.0
9046,0.0
29573,0.0
29397,0.0
14539,0.0
15886,0.8
12893,0.0
13092,0.2
31389,0.0
41003,0.0
10666,0.2
17674,0.0
25855,0.0
20665,0.4
1762,0.2
18420,0.0
14303,0.6
9813,0.0
3271,0.0
10557,0.0
26367,0.8
29417,0.0
30526,0.0
11276,0.0
8412,0.2
18535,0.2
21542,0.2
30549,0.6
16087,0.0
35716,0.0
27644,0.4
328,0.0
15127,0.0
13835,0.0
4798,0.0
10247,0.0
4809,0.0
30856,0.0
16225,0.0
528,0.0
24743,0.2
663,0.2
20475,0.4
793,0.2
41098,0.0
22232,0.8
25036,0.4
32489,0.0
34867,0.2
16007,0.8
3632,0.8
29532,0.0
39728,0.0
13054,0.0
22253,0.0
40988,0.6
38557,0.0
32411,0.8
20316,0.8
40964,0.6
17670,0.0
21634,0.0
32798,0.0
27056,0.0
36904,0.0
5081,0.2
9386,0.0
37023,0.0
10355,0.0
10870,0.0
6440,0.0
17089,0.2
4738,0.8
11683,0.6
35532,0.0
29127,0.4
23053,0.0
38288,0.0
22510,0.0
10956,0.2
11978,0.2
7748,0.0
24581,0.8
27049,0.4
4288,0.0
613,0.6
30504,0.0
39739,0.0
25356,0.0
14130,0.2
36997,1.0
26602,0.0
17161,0.0
26557,0.4
13596,0.2
11181,0.0
5291,0.6
18575,0.0
24008,0.2
5251,0.0
28283,0.6
12285,0.0
5087,0.0
29587,0.0
1936,0.0
18559,0.0
8980,0.0
4399,0.0
27818,0.0
9940,0.0
21650,0.4
13800,0.2
5456,0.0
7432,0.0
3527,0.2
28362,0.4
15786,0.0
8314,0.0
37223,0.4
22340,0.0
27772,0.4
21811,0.6
40404,0.0
8062,0.0
14964,0.0
41160,0.0
2539,0.4
1055,0.0
22262,0.2
34250,0.0
35546,1.0
21846,0.0
22781,0.0
34845,0.0
316,0.0
33190,0.0
18669,0.2
22345,0.2
19935,0.0
18585,0.0
9546,0.0
39794,0.2
27695,0.2
6531,0.6
40360,0.0
6431,0.4
1004,0.0
39077,0.0
29649,0.0
8259,0.0
31978,0.0
30398,0.6
11496,0.0
12716,0.0
16766,0.2
36871,0.0
9248,0.2
37983,0.4
25641,0.2
16151,0.2
23979,0.0
16444,0.0
10865,0.0
23947,0.0
4427,0.4
26921,0.4
37389,0.0
854,0.2
3831,0.4
28509,0.8
35421,0.0
1158,0.0
29049,0.0
18217,0.0
5932,0.0
25788,0.0
31410,0.0
37807,0.0
19126,0.0
23631,0.0
12976,0.4
31805,0.0
21512,0.0
7354,0.0
27649,0.4
9901,0.0
10610,0.4
21502,0.0
17458,0.2
33439,0.0
10358,0.4
1746,0.8
20497,0.4
5103,0.0
287,0.0
18818,0.0
8313,0.2
2963,0.0
3214,0.8
7902,0.0
40215,0.0
23797,1.0
38791,0.0
33495,0.0
31519,0.0
41163,0.0
15971,0.0
22363,0.0
39285,0.0
29515,0.0
25306,0.0
7188,0.0
5072,0.2
22158,0.0
16438,0.0
718,0.2
12411,0.2
10241,0.0
30318,0.2
8024,0.0
33857,0.8
21719,0.2
19463,0.8
12143,0.0
9659,0.2
910,0.4
39014,0.2
19193,0.2
24738,0.0
23380,0.4
16245,0.0
20997,0.4
5858,0.2
11430,1.0
24530,0.4
26194,0.0
28260,0.0
13584,0.0
10478,0.2
22248,0.0
20256,0.0
25479,0.0
11602,0.6
37857,0.2
22132,0.0
1278,0.0
23897,0.0
26439,0.4
5264,0.0
40231,0.8
35321,0.4
20230,0.0
9411,0.4
1714,0.0
8464,0.2
1604,0.4
38443,1.0
32614,0.0
17138,0.6
36933,0.0
13472,0.0
10454,0.4
26379,1.0
10267,1.0
22999,0.0
5008,0.4
13071,0.0
9745,0.0
34890,0.2
19128,0.0
4002,0.0
26299,1.0
36290,0.0
28521,0.0
22506,0.0
36231,0.6
206,0.0
25012,0.6
15792,0.2
36456,0.0
27920,0.0
20222,0.0
37986,0.0
6875,0.0
38258,0.0
11799,0.0
16856,0.0
34256,0.0
33859,0.0
20170,0.8
7083,0.0
30880,0.6
40989,0.4
32929,0.0
32826,0.2
10391,0.6
18135,0.2
36182,0.0
20921,0.4
6397,0.6
22430,0.8
2960,1.0
15179,0.0
532,0.0
20578,0.0
16858,0.0
1682,0.0
7828,0.2
28789,0.0
15211,0.0
33127,0.2
2356,0.2
26889,0.0
2413,0.2
27849,0.0
4638,0.0
25431,0.0
32371,0.8
22542,0.0
21302,0.2
28786,0.6
20816,0.0
34421,0.0
23704,0.0
28841,0.0
21234,0.2
29435,0.0
24364,0.8
37561,0.0
2391,0.2
23172,0.2
39591,0.0
12020,0.2
21645,0.2
11138,0.2
17384,0.0
32691,0.4
17248,0.0
26795,0.0
36499,0.0
33484,0.4
18311,0.6
20746,0.2
